"","x"
"ENSMUSG00000004056",6173
"ENSMUSG00000004069",10169
"ENSMUSG00000004070",17675
"ENSMUSG00000004071",8878
"ENSMUSG00000004085",12375
"ENSMUSG00000004096",17227
"ENSMUSG00000004098",172
"ENSMUSG00000004099",72277
"ENSMUSG00000004100",24719
"ENSMUSG00000004105",24125
"ENSMUSG00000004110",4
"ENSMUSG00000004113",4342
"ENSMUSG00000004127",2417
"ENSMUSG00000004151",13
"ENSMUSG00000004187",49
"ENSMUSG00000004207",60585
"ENSMUSG00000004221",8885
"ENSMUSG00000004231",0
"ENSMUSG00000004233",2856
"ENSMUSG00000004263",112
"ENSMUSG00000004264",43417
"ENSMUSG00000004266",32408
"ENSMUSG00000004267",50
"ENSMUSG00000004268",36311
"ENSMUSG00000004270",21162
"ENSMUSG00000004285",15214
"ENSMUSG00000004296",0
"ENSMUSG00000004317",900
"ENSMUSG00000004319",6662
"ENSMUSG00000004328",192
"ENSMUSG00000004341",0
"ENSMUSG00000004344",0
"ENSMUSG00000004347",0
"ENSMUSG00000004356",26686
"ENSMUSG00000004359",0
"ENSMUSG00000004360",2
"ENSMUSG00000004364",27850
"ENSMUSG00000004366",0
"ENSMUSG00000004371",9
"ENSMUSG00000004383",22
"ENSMUSG00000004393",20482
"ENSMUSG00000004394",11144
"ENSMUSG00000004415",360
"ENSMUSG00000004446",23777
"ENSMUSG00000004451",8918
"ENSMUSG00000004455",1556
"ENSMUSG00000004460",19567
"ENSMUSG00000004462",5849
"ENSMUSG00000004473",549
"ENSMUSG00000004500",2195
"ENSMUSG00000004508",15271
"ENSMUSG00000004530",17304
"ENSMUSG00000004535",66520
"ENSMUSG00000004540",3
"ENSMUSG00000004542",2
"ENSMUSG00000004552",165
"ENSMUSG00000004558",1
"ENSMUSG00000004561",3977
"ENSMUSG00000004562",182
"ENSMUSG00000004565",5772
"ENSMUSG00000004567",7773
"ENSMUSG00000004568",21358
"ENSMUSG00000004591",16211
"ENSMUSG00000004609",150717
"ENSMUSG00000004610",19357
"ENSMUSG00000004612",4024
"ENSMUSG00000004626",28433
"ENSMUSG00000004630",43
"ENSMUSG00000004631",11
"ENSMUSG00000004633",33
"ENSMUSG00000004637",4061
"ENSMUSG00000004642",18450
"ENSMUSG00000004651",0
"ENSMUSG00000004654",1
"ENSMUSG00000004655",11
"ENSMUSG00000004661",1655
"ENSMUSG00000004665",11149
"ENSMUSG00000004667",28671
"ENSMUSG00000004668",69
"ENSMUSG00000004677",26153
"ENSMUSG00000004698",27164
"ENSMUSG00000004707",5969
"ENSMUSG00000004709",17034
"ENSMUSG00000004730",279
"ENSMUSG00000004748",1480
"ENSMUSG00000004768",325
"ENSMUSG00000004771",14933
"ENSMUSG00000004788",12010
"ENSMUSG00000004789",42714
"ENSMUSG00000004791",73
"ENSMUSG00000004798",6166
"ENSMUSG00000004814",3
"ENSMUSG00000004815",1398
"ENSMUSG00000004821",0
"ENSMUSG00000004837",1001
"ENSMUSG00000004842",88
"ENSMUSG00000004843",8014
"ENSMUSG00000004846",7931
"ENSMUSG00000004849",16517
"ENSMUSG00000004864",436
"ENSMUSG00000004865",32785
"ENSMUSG00000004872",0
"ENSMUSG00000004880",58699
"ENSMUSG00000004885",8
"ENSMUSG00000004891",454
"ENSMUSG00000004892",13
"ENSMUSG00000004894",0
"ENSMUSG00000004895",4888
"ENSMUSG00000004896",3987
"ENSMUSG00000004897",85791
"ENSMUSG00000004902",228
"ENSMUSG00000004929",13840
"ENSMUSG00000004931",3714
"ENSMUSG00000004933",2705
"ENSMUSG00000004934",6024
"ENSMUSG00000004936",10927
"ENSMUSG00000004937",15546
"ENSMUSG00000004939",2
"ENSMUSG00000004945",4520
"ENSMUSG00000004947",3214
"ENSMUSG00000004948",0
"ENSMUSG00000004951",7
"ENSMUSG00000004952",3186
"ENSMUSG00000004961",15
"ENSMUSG00000004980",247080
"ENSMUSG00000004988",140
"ENSMUSG00000004994",2019
